level,cluster_id,cluster_name,question_count,questions
0,4082e354c3124139a3d7636cddd8494a,Organize educational content for various subjects,6,"132,134,140,151,153,154"
0,91cd641e14db4db293004d73bf6cc199,Help me replace unusual vehicle terminology,1,108
0,e4d51b511e2e4345b7cd758553d71cfc,Explain coding algorithms and physics concepts,14,"92,96,108,121,122,124,125,126,127,128,137,141,142,149"
0,e6aaa3a5bdd34a37b7ad09a585d6857e,Promote sustainable engineering and environmental education,7,"100,143,144,145,146,147,148"
0,8c43363826104cec8ec970f6078428b7,Clarify personal relationships and domestic violence dynamics,3,"94,104,107"
0,0b2ef2f776bd43da9fab18e6827916a9,Enhance creative writing and persuasive communication skills,20,"81,82,83,84,85,86,87,88,90,91,92,95,123,131,133,136,138,156,157,160"
0,700433c925714f94ba03ac8e03542a3d,Assist with solving mathematical and logical puzzles,19,"97,99,101,105,106,111,112,113,114,115,116,117,118,119,120,128,129,130,139"
0,33aabe423f9d46cf9c29f9e672c1a237,Discuss health issues and report playground bullying,3,"93,103,110"
0,ceec741b8010446eaf2b68c130a83774,Discuss cultural ethics and life perspectives,9,"89,98,102,109,135,150,152,158,159"
0,7b8da3563b1b4df6a19dfb36dd15dcca,Devise engaging art projects for children,1,155
1,2e60221b12bb4040847b4dcb82c68acf,Categorize academic questions and suggest figures,1,132
1,8be8cbe92ed34bd480f4982168e7eec9,Design engaging drama-based history lesson plans,1,154
1,3b21aa014acc4b4580604b9a0988c045,Simplify economic concepts and analyze financial data,4,"134,140,151,153"
1,6f4917eea0bf482d92804e881ca88e1a,Identify and replace strange vehicle-related terms,1,108
1,dc86257aa96e452896e89a51eb215bfa,Clarify machine learning and coding algorithms,13,"92,96,108,121,122,124,125,126,127,128,137,142,149"
1,2b65cab50599483bad023facbb3e222a,Explain satellite orbits and quantum physics concepts,2,"141,142"
1,f16e70d6049a42229dec91a15721f756,Explain scientific concepts and promote environmentalism,6,"100,143,144,145,146,148"
1,7965cd281044496cbdbd7f45287ecaf6,Guide on building earthquake-resistant bridges,1,147
1,ac3d8ebb8b84428dbbf0abf9eda084a5,Clarify familial and relationship dynamics,3,"94,104,107"
1,1a5993c87e8e4af5abd9c2373d92fbae,Assist with creative writing and role-playing tasks,11,"81,83,85,86,87,88,91,92,123,133,160"
1,bd38df1250314172bdcfe2570630f5ce,Help me improve my written text,3,"90,95,136"
1,0db0c9887b144dd79b1544ab6d2af562,Analyze and evaluate persuasive communication strategies,6,"82,84,131,138,156,157"
1,9164cb8f9dc7429a81b71b54b178591f,Help me solve mathematical and logical problems,18,"97,99,101,106,111,112,113,114,115,116,117,118,119,120,128,129,130,139"
1,cac490a9ebd04b3db67420dbd8ef8742,Help solve a complex parking logic puzzle,1,105
1,ff316bb1948c4c73ad3121abdcc2e9b2,Examine health-related concerns and remedies for individuals,2,"93,103"
1,938add5f8e8c465ba7032cde819c73bf,Identify and address playground bullying incidents,1,110
1,f7d24c7f4ff7467abb63f53d44399306,Explore cultural perspectives and ethical considerations,7,"89,98,102,135,150,158,159"
1,a0288dc3d5134aae8947084972ec34c0,Explore life stages and the nature of shadows,2,"109,152"
1,fff670672c954a07bed475b10cd4785b,Design interactive art activities for children,1,155
2,67ae3346de144a6590dd5360aa3a05ef,Categorize academic questions and suggest relevant figures,1,132
2,2edbd91e12a34caf92614940234a1547,Design engaging drama-driven history lesson plans,1,154
2,583af9f3857f4b53a7226d0395146a47,Explain economic concepts and analyze financial data,4,"134,140,151,153"
2,8ae7d218fb6d496f8a8cb87463559279,Identify and replace odd words in vehicle terms,1,108
2,3aced972a2844cd9853286a4a649ca37,Differentiate between machine learning types clearly,6,"92,108,124,128,142,149"
2,da15b87da8a5470290a10e2e5b1a4cca,Explain language models and provide coding solutions,4,"96,121,127,137"
2,b44314d32ae44aa798ba436ba9734c79,Provide algorithm implementations for tree and array problems,2,"125,126"
2,db0d0032efa2426eb388506b3f760e56,Write programs for binary and ternary tree calculations,2,"122,128"
2,2fc0772271aa4c77941e328bface587e,Clarify satellite orbit changes and quantum concepts,2,"141,142"
2,25843a18a1494991a16362259cdf2ea3,Explain photosynthesis and advocate for tree conservation,3,"100,143,148"
2,d4f1471cb0eb449f8d4e49e29a7aefd3,Clarify and correct chemistry concepts and reactions,3,"144,145,146"
2,45bec825125a4c78b5dd6889e00e9048,Provide guidance on seismic-resistant bridge design,1,147
2,8a769552508c4f8290b2fd9980551ef8,Clarify familial relationships and sibling counts,2,"104,107"
2,2698b08a6d3d4e2fac770399df578a4a,Offer relationship support in domestic violence situations,1,94
